[BeGaze]
Converted from:	D:\Kirillov\Results\fatcat\P04-eye_data.idf
Date:	29.05.2019 04:55:18
Version:	BeGaze 3.0.181
Sample Rate:	250
Subject:	P04
Description:	Run4

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg. Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for User Events:
Event Type	Trial	Number	Start	Description

Saccade L	1	38	3767513160	3767685177	172017	561.60	502.28	516.48	574.90	62.06	1069.61	0.40	360.80	19888.90	-23269.68	7926.65
Saccade L	1	39	3767685177	3767733181	48004	516.48	574.90	1034.84	421.42	17.53	1084.19	0.58	365.12	30375.28	-24648.43	17078.93
Saccade L	1	40	3767733181	3767801181	68000	1034.84	421.42	552.54	536.14	21.69	1062.67	0.24	318.94	33555.29	-36245.79	13116.34
Saccade L	1	41	3767801181	3767837166	35985	552.54	536.14	532.21	541.02	0.83	48.56	0.22	23.02	864.18	-1339.25	735.66
Saccade L	1	42	3767897165	3768017177	120012	524.13	551.54	382.08	621.68	38.91	1326.77	0.40	324.25	30267.40	-47970.66	11664.56
Saccade L	1	43	3768017177	3768073177	56000	382.08	621.68	425.48	611.27	4.50	160.80	0.57	80.37	4696.87	-4791.61	2987.99
Saccade L	1	44	3768093185	3768121193	28008	375.45	642.31	342.79	665.11	1.66	103.51	0.71	59.28	3976.73	427.84	2142.44
Saccade L	1	45	3768121193	3768157093	35900	342.79	665.11	377.88	628.32	3.72	198.32	0.22	103.62	4277.80	-5854.53	2778.59
Saccade L	1	46	3768157093	3768257204	100111	377.88	628.32	376.54	656.36	18.66	782.42	0.24	186.40	35321.64	-27042.86	9656.78
Saccade L	1	47	3768257204	3768281208	24004	376.54	656.36	401.52	624.71	0.96	101.31	0.33	39.84	1451.40	-986.24	654.26
Saccade L	1	48	3768297177	3768333091	35914	387.13	629.69	379.37	667.88	8.77	460.86	0.66	244.16	20734.41	-22444.70	15448.81
Saccade L	1	49	3768345051	3768641113	296062	329.00	674.20	1198.67	456.88	45.59	828.77	0.76	154.00	28774.57	-28979.53	6176.76
Saccade L	1	50	3768641113	3768693070	51957	1198.67	456.88	1182.61	467.53	10.11	294.57	0.31	194.57	15112.06	-10985.79	6407.38
Saccade L	1	51	3768693070	3768833068	139998	1182.61	467.53	1213.42	492.73	23.25	767.83	0.60	166.05	28227.48	-24639.87	9599.46
Fixation L	1	4	3768833068	3768901068	68000	1210.74	491.63	22	5	-1	8.72	8.72
Saccade L	1	52	3768973066	3769009065	35999	767.28	498.22	774.02	505.89	1.06	58.11	0.22	29.31	911.86	-1664.53	682.46
Saccade L	1	53	3769009065	3769097073	88008	774.02	505.89	715.98	473.04	3.48	126.34	0.27	39.57	3798.04	-2497.02	1182.75
Saccade L	1	54	3769097073	3769165088	68015	715.98	473.04	682.84	440.81	3.67	131.41	0.41	53.95	3248.88	-3481.20	1398.38
Saccade L	1	55	3769201082	3769297086	96004	706.15	490.28	766.50	467.78	6.06	150.96	0.63	63.09	5538.23	-4301.62	1903.19
Saccade L	1	56	3769413060	3769465057	51997	798.49	578.10	867.48	651.76	3.16	172.00	0.39	60.73	5685.56	-6517.37	3133.64
Saccade L	1	57	3769465057	3769489074	24017	867.48	651.76	868.97	648.33	0.53	43.27	0.50	22.18	505.98	-893.17	470.05
Saccade L	1	58	3769717074	3769756937	39863	910.01	661.70	904.14	674.22	4.58	247.12	0.50	114.79	8176.28	-8192.58	4300.96
Saccade L	1	59	3769756937	3769777004	20067	904.14	674.22	1227.16	492.48	2.51	257.46	0.60	125.08	14289.39	841.99	8359.23
Saccade L	1	60	3769816960	3769848933	31973	936.51	681.64	929.54	700.78	1.37	93.13	0.25	42.77	247.31	-1709.21	914.15
Saccade L	1	61	3769856960	3769896967	40007	929.44	694.85	918.73	701.86	1.38	60.11	0.60	34.49	3812.77	-1694.63	1234.95
