[BeGaze]
Converted from:	D:\Kirillov\Results\ermolova_temp\Vika-eye_data.idf
Date:	17.04.2019 03:53:45
Version:	BeGaze 3.0.181
Sample Rate:	250
Subject:	Vika
Description:	Run30

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg. Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for User Events:
Event Type	Trial	Number	Start	Description

Saccade L	1	19	6328139946	6328171954	32008	508.33	159.45	510.12	33.28	2.69	237.00	0.38	83.93	723.03	-9000.07	3396.03
Saccade R	1	21	6328139946	6328171954	32008	508.33	159.45	510.12	33.28	2.69	237.00	0.38	83.93	723.03	-9000.07	3396.03
Saccade L	1	20	6328195962	6328224017	28055	509.46	27.06	503.61	-35.31	1.61	121.34	0.29	57.37	12849.96	-3077.19	3712.21
Saccade R	1	22	6328195962	6328224017	28055	509.46	27.06	503.61	-35.31	1.61	121.34	0.29	57.37	12849.96	-3077.19	3712.21
Saccade L	1	21	6328224017	6328335873	111856	503.61	-35.31	529.78	56.11	25.70	375.58	0.25	229.73	14883.64	-14838.04	6040.33
Saccade R	1	23	6328224017	6328335873	111856	503.61	-35.31	529.78	56.11	25.70	375.58	0.25	229.73	14883.64	-14838.04	6040.33
UserEvent	1	2	6328434934	# Message: UE-mouseclick left x=399 y=340
Saccade L	1	22	6328443952	6328519948	75996	500.77	3.35	510.25	-70.76	21.29	687.19	0.53	280.09	13796.82	-23322.54	7694.52
Saccade R	1	24	6328443952	6328519948	75996	500.77	3.35	510.25	-70.76	21.29	687.19	0.53	280.09	13796.82	-23322.54	7694.52
Saccade L	1	23	6328519948	6328539949	20001	510.25	-70.76	520.13	33.13	1.07	104.45	0.60	53.30	1425.19	-5586.04	2842.49
Saccade R	1	25	6328519948	6328539949	20001	510.25	-70.76	520.13	33.13	1.07	104.45	0.60	53.30	1425.19	-5586.04	2842.49
Saccade L	1	24	6328539949	6328631961	92012	520.13	33.13	548.19	62.07	7.25	193.50	0.22	78.81	7423.06	-4570.37	2429.39
Saccade R	1	26	6328539949	6328631961	92012	520.13	33.13	548.19	62.07	7.25	193.50	0.22	78.81	7423.06	-4570.37	2429.39
Saccade L	1	25	6328755950	6328867831	111881	572.95	114.45	568.97	92.53	9.06	240.75	0.39	81.01	5875.69	-7183.76	2115.77
Saccade R	1	27	6328755950	6328867831	111881	572.95	114.45	568.97	92.53	9.06	240.75	0.39	81.01	5875.69	-7183.76	2115.77
Saccade L	1	26	6328867831	6328907841	40010	568.97	92.53	538.57	84.03	2.28	124.21	0.30	56.92	2793.27	-3010.21	1927.39
Saccade R	1	28	6328867831	6328907841	40010	568.97	92.53	538.57	84.03	2.28	124.21	0.30	56.92	2793.27	-3010.21	1927.39
Saccade L	1	27	6328919851	6329035834	115983	545.90	79.83	562.65	51.24	8.27	182.27	0.45	71.29	4434.26	-5615.01	2011.34
Saccade R	1	29	6328919851	6329035834	115983	545.90	79.83	562.65	51.24	8.27	182.27	0.45	71.29	4434.26	-5615.01	2011.34
UserEvent	1	3	6328986943	# Message: UE-mouseclick left x=397 y=385
Saccade L	1	28	6329035834	6329071855	36021	562.65	51.24	530.13	-5.45	2.40	155.49	0.56	66.55	6094.39	-5441.75	3353.41
Saccade R	1	30	6329035834	6329071855	36021	562.65	51.24	530.13	-5.45	2.40	155.49	0.56	66.55	6094.39	-5441.75	3353.41
