Subject	Source	Question	Answer		
Sofia	9	Выберите правильный вариант ответа	2) 70  15  10  5	
Sofia	7	Выберите правильный вариант ответа	1) 65  20  10  5	
Sofia	8	Выберите правильный вариант ответа	3) 75  10  10  5	
Sofia	10	Выберите правильный вариант ответа	2) 80  10  5  5	
Sofia	12	Выберите правильный вариант ответа	1) 65  20  10  5	
Sofia	14	Выберите правильный вариант ответа	2) 70  15  10  5	
Sofia	16	Выберите правильный вариант ответа	3) 60  20  15  5	
Sofia	15	Выберите правильный вариант ответа	2) 80  10  5  5	
Sofia	13	Выберите правильный вариант ответа	3) 75  10  10  5	
Sofia	17	Выберите правильный вариант ответа	1) 65  20  10  5	
Sofia	19	Выберите правильный вариант ответа	2) 70  15  10  5	
Sofia	18	Выберите правильный вариант ответа	3) 75  10  10  5	
Sofia	21	Выберите правильный вариант ответа	3) 60  20  15  5	
Sofia	20	Выберите правильный вариант ответа	2) 80  10  5  5	
Ignat	6	Выберите правильный вариант ответа	2) 70  15  10  5	
Ignat	4	Выберите правильный вариант ответа	3) 75  10  5  5	
Ignat	3	Выберите правильный вариант ответа	3) 75  10  10  5	
Ignat	5	Выберите правильный вариант ответа	1) 85  6  5  4	
Ignat	2	Выберите правильный ответ	3) 75  10  5  5	
Ignat	11	Выберите правильный вариант ответа	1) 65  20  15  10	
Ignat	10	Выберите правильный вариант ответа	1) 85  6  5  4	
Ignat	9	Выберите правильный вариант ответа	2) 70  15  10  5	
Ignat	8	Выберите правильный вариант ответа	2) 70  15  10  5	
Ignat	7	Выберите правильный вариант ответа	1) 65  20  10  5	
Ignat2	2	Выберите правильный ответ	3) 75  10  5  5	
Ignat2	4	Выберите правильный вариант ответа	3) 75  10  5  5	
Ignat2	6	Выберите правильный вариант ответа	3) 60  20  15  5	
Ignat2	5	Выберите правильный вариант ответа	3) 75  15  5  5	
Ignat2	3	Выберите правильный вариант ответа	3) 75  10  10  5	
Ignat2	7	Выберите правильный вариант ответа	3) 75  10  5  5	
Ignat2	8	Выберите правильный вариант ответа	3) 75  10  10  5	
Ignat2	9	Выберите правильный вариант ответа	2) 70  15  10  5	
Ignat2	11	Выберите правильный вариант ответа	3) 60  20  15  5	
Ignat2	10	Выберите правильный вариант ответа	1) 85  6  5  4	
Ignat2	13	Выберите правильный вариант ответа	2) 70  15  10  5	
Ignat2	14	Выберите правильный вариант ответа	3) 75  10  5  5	
Ignat2	16	Выберите правильный вариант ответа	3) 60  20  15  5	
Ignat2	15	Выберите правильный вариант ответа	1) 85  6  5  4	
Ignat2	12	Выберите правильный вариант ответа	2) 70  15  10  5	
Ignat2	19	Выберите правильный вариант ответа	3) 75  10  5  5	
Ignat2	17	Выберите правильный вариант ответа	1) 65  20  10  5	
Ignat2	21	Выберите правильный вариант ответа	3) 60  20  15  5	
Ignat2	20	Выберите правильный вариант ответа	1) 85  6  5  4	
Ignat2	18	Выберите правильный вариант ответа	3) 75  10  10  5	
Vita	3	Выберите правильный вариант ответа	3) 75  10  10  5	
Vita	4	Выберите правильный вариант ответа	2) 70  15  10  5	
Vita	6	Выберите правильный вариант ответа	3) 60  20  15  5	
Vita	5	Выберите правильный вариант ответа	2) 80  10  5  5	
Vita	2	Выберите правильный ответ	1) 65  20  10  5	
Vita	8	Выберите правильный вариант ответа	1) 65  20  15  10	
Vita	10	Выберите правильный вариант ответа	1) 85  6  5  4	
Vita	7	Выберите правильный вариант ответа	1) 65  20  10  5	
Vita	11	Выберите правильный вариант ответа	3) 60  20  15  5	
Vita	9	Выберите правильный вариант ответа	2) 70  15  10  5	
Vita	16	Выберите правильный вариант ответа	3) 60  20  15  5	
Vita	13	Выберите правильный вариант ответа	3) 75  10  10  5	
Vita	14	Выберите правильный вариант ответа	2) 70  15  10  5	
Vita	12	Выберите правильный вариант ответа	1) 65  20  10  5	
Vita	15	Выберите правильный вариант ответа	2) 80  10  5  5	
Vita	21	Выберите правильный вариант ответа	3) 60  20  15  5	
Vita	20	Выберите правильный вариант ответа	2) 80  10  5  5	
Vita	18	Выберите правильный вариант ответа	3) 75  10  10  5	
Vita	17	Выберите правильный вариант ответа	1) 65  20  10  5	
Vita	19	Выберите правильный вариант ответа	2) 70  15  10  5	
Nikol	2	Выберите правильный ответ	1) 65  20  10  5	
Nikol	6	Выберите правильный вариант ответа	3) 60  20  15  5	
Nikol	5	Выберите правильный вариант ответа	2) 80  10  5  5	
Nikol	3	Выберите правильный вариант ответа	3) 75  10  10  5	
Nikol	4	Выберите правильный вариант ответа	2) 70  15  10  5	
Nikol	7	Выберите правильный вариант ответа	1) 65  20  10  5	
Nikol	8	Выберите правильный вариант ответа	3) 75  10  10  5	
Nikol	11	Выберите правильный вариант ответа	3) 60  20  15  5	
Nikol	10	Выберите правильный вариант ответа	1) 85  6  5  4	
Nikol	9	Выберите правильный вариант ответа	2) 70  15  10  5	
Nikol	14	Выберите правильный вариант ответа	1) 65  20  15  10	
Nikol	13	Выберите правильный вариант ответа	3) 75  10  10  5	
Nikol	12	Выберите правильный вариант ответа	1) 65  20  10  5	
Nikol	16	Выберите правильный вариант ответа	3) 60  20  15  5	
Nikol	15	Выберите правильный вариант ответа	2) 80  10  5  5	
Nikol	18	Выберите правильный вариант ответа	3) 75  10  10  5	
Nikol	20	Выберите правильный вариант ответа	2) 80  10  5  5	
Nikol	17	Выберите правильный вариант ответа	1) 65  20  10  5	
Nikol	21	Выберите правильный вариант ответа	1) 65  20  15  10	
Nikol	19	Выберите правильный вариант ответа	1) 65  20  15  10	
Julia	3	Выберите правильный вариант ответа	3) 75  10  10  5	
Julia	5	Выберите правильный вариант ответа	2) 80  10  5  5	
Julia	2	Выберите правильный ответ	2) 70  15  10  5	
Julia	4	Выберите правильный вариант ответа	2) 70  15  10  5	
Julia	6	Выберите правильный вариант ответа	3) 60  20  15  5	
Julia	9	Выберите правильный вариант ответа	1) 65  20  15  10	
Julia	10	Выберите правильный вариант ответа	2) 80  10  5  5	
Julia	11	Выберите правильный вариант ответа	3) 60  20  15  5	
Julia	8	Выберите правильный вариант ответа	3) 75  10  10  5	
Julia	7	Выберите правильный вариант ответа	1) 65  20  10  5	
Julia	16	Выберите правильный вариант ответа	3) 60  20  15  5	
Julia	13	Выберите правильный вариант ответа	3) 75  10  10  5	
Julia	12	Выберите правильный вариант ответа	1) 65  20  10  5	
Julia	15	Выберите правильный вариант ответа	2) 80  10  5  5	
Julia	14	Выберите правильный вариант ответа	1) 65  20  15  10	
Julia	20	Выберите правильный вариант ответа	3) 75  15  5  5	
Julia	19	Выберите правильный вариант ответа	2) 70  15  10  5	
Julia	21	Выберите правильный вариант ответа	3) 60  20  15  5	
Julia	17	Выберите правильный вариант ответа	1) 65  20  10  5	
Julia	18	Выберите правильный вариант ответа	3) 75  10  10  5	
Daniil	6	Выберите правильный вариант ответа	1) 65  20  15  10	
Daniil	3	Выберите правильный вариант ответа	3) 75  10  10  5	
Daniil	4	Выберите правильный вариант ответа	2) 70  15  10  5	
Daniil	2	Выберите правильный ответ	1) 65  20  10  5	
Daniil	5	Выберите правильный вариант ответа	3) 75  15  5  5	
Daniil	8	Выберите правильный вариант ответа	3) 75  10  10  5	
Daniil	7	Выберите правильный вариант ответа	1) 65  20  10  5	
Daniil	10	Выберите правильный вариант ответа	1) 85  6  5  4	
Daniil	9	Выберите правильный вариант ответа	2) 70  15  10  5	
Daniil	11	Выберите правильный вариант ответа	3) 60  20  15  5	
Daniil	15	Выберите правильный вариант ответа	1) 85  6  5  4	
Daniil	12	Выберите правильный вариант ответа	2) 70  15  10  5	
Daniil	14	Выберите правильный вариант ответа	2) 70  15  10  5	
Daniil	16	Выберите правильный вариант ответа	3) 60  20  15  5	
Daniil	13	Выберите правильный вариант ответа	3) 75  10  10  5	
Daniil	18	Выберите правильный вариант ответа	3) 75  10  10  5	
Daniil	20	Выберите правильный вариант ответа	2) 80  10  5  5	
Daniil	17	Выберите правильный вариант ответа	1) 65  20  10  5	
Daniil	19	Выберите правильный вариант ответа	2) 70  15  10  5	
Daniil	21	Выберите правильный вариант ответа	3) 60  20  15  5	
